,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather Description
158,Nome,US,64.5011,-165.4064,24.87,86,100,10.36,overcast clouds
159,Mogadishu,SO,2.0371,45.3438,80.65,79,91,14.65,overcast clouds
160,Bonnyville,CA,54.2668,-110.735,-11.4,99,95,0.78,overcast clouds
161,Ambon,ID,-3.6954,128.1814,75.34,94,40,9.22,scattered clouds
162,Avarua,CK,-21.2078,-159.775,78.85,83,75,11.5,broken clouds
163,Lebu,CL,-37.6167,-73.65,59.76,58,0,17.6,clear sky
164,Okha,RU,53.5739,142.9478,0.23,90,100,21.18,overcast clouds
165,Meulaboh,ID,4.1363,96.1285,75.61,89,100,0.69,overcast clouds
166,Upernavik,GL,72.7868,-56.1549,1.96,95,100,19.28,overcast clouds
167,Makat,KZ,47.6469,53.3463,25.45,46,0,6.38,clear sky
168,Shiringushi,RU,53.8485,42.7676,14.31,92,75,4.5,broken clouds
169,Kasama,ZM,-10.2129,31.1808,63.57,89,100,5.26,overcast clouds
170,Faanui,PF,-16.4833,-151.75,79.48,79,79,14.63,light rain
171,Watertown,US,42.3709,-71.1828,43.29,42,40,20.71,scattered clouds
172,Linxia,CN,35.6003,103.2064,23.95,35,2,1.07,clear sky
173,Osypenko,UA,46.9136,36.8253,38.28,58,100,26.98,overcast clouds
174,Dole,FR,47.0833,5.5,43.5,75,100,12.66,overcast clouds
175,Wladyslawowo,PL,54.7909,18.4009,37.47,82,100,10.07,overcast clouds
176,Airai,TL,-8.9266,125.4092,58.91,84,87,1.77,overcast clouds
177,Panzhihua,CN,26.5851,101.7128,54.77,75,0,1.72,clear sky
178,Benghazi,LY,32.1167,20.0667,65.53,60,34,10.74,scattered clouds
179,El Viejo,NI,12.6633,-87.1672,82.62,74,75,4.61,broken clouds
180,Diffa,NE,13.3154,12.6113,80.31,16,12,7.07,few clouds
181,Kaitangata,NZ,-46.2817,169.8464,46.02,70,32,10.45,scattered clouds
182,Salalah,OM,17.0151,54.0924,78.89,73,75,3.44,broken clouds
183,Pointe Michel,DM,15.25,-61.3833,82.69,68,15,11.03,few clouds
184,Olafsvik,IS,64.8945,-23.7142,42.22,80,75,32.86,broken clouds
185,Tuktoyaktuk,CA,69.4541,-133.0374,-0.9,95,99,5.03,overcast clouds
186,Clyde River,CA,70.4692,-68.5914,-28.97,62,0,4.61,clear sky
187,Itoman,JP,26.1247,127.6694,66.22,72,100,14.97,overcast clouds
188,Dukat,RU,62.55,155.55,-15.84,100,88,3.09,overcast clouds
189,Necochea,AR,-38.5473,-58.7368,66.38,67,83,11.56,broken clouds
190,Saint-Georges,GD,12.0564,-61.7485,83.88,74,40,23.02,scattered clouds
191,Coihaique,CL,-45.5752,-72.0662,58.95,36,75,9.22,broken clouds
192,Izumo,JP,35.3667,132.7667,44.55,64,100,10.54,overcast clouds
193,Buin,CL,-33.7333,-70.75,83.43,21,0,9.01,clear sky
194,Pacific Grove,US,36.6177,-121.9166,58.06,74,100,27,overcast clouds
195,Banda Aceh,ID,5.5577,95.3222,78.13,83,96,5.99,overcast clouds
196,Saint-Medard-En-Jalles,FR,44.8969,-0.7214,47.3,81,100,9.22,overcast clouds
197,Sulingen,DE,52.6833,8.8,38.64,86,100,7.74,overcast clouds
198,Sioux Lookout,CA,50.1001,-91.917,14.07,85,100,8.05,overcast clouds
199,Athabasca,CA,54.7169,-113.2854,-21.59,99,88,0.87,overcast clouds
200,Abu Samrah,SY,35.3029,37.1841,56.44,78,41,4.16,scattered clouds
201,Saint George,US,37.1041,-113.5841,43.43,47,0,0,clear sky
202,Merano,IT,46.6682,11.1595,41.67,79,63,5.14,broken clouds
203,Nanortalik,GL,60.1432,-45.2371,26.06,74,8,28.59,clear sky
204,Akureyri,IS,65.6835,-18.0878,39.13,70,15,9.22,few clouds
205,Ingham,US,42.6,-84.3833,35.91,64,0,9.22,clear sky
206,Hare Bay,CA,48.8499,-54.0148,38.8,78,100,20.13,overcast clouds
207,Lasa,IT,46.6166,10.7002,41.88,83,71,1.32,broken clouds
208,Khatanga,RU,71.9667,102.5,11.98,92,100,15.14,overcast clouds
209,Hambantota,LK,6.1241,81.1185,77.41,87,63,8.52,broken clouds
210,Shenjiamen,CN,29.9576,122.298,45.97,94,100,20,overcast clouds
211,Huilong,CN,31.8111,121.655,41.61,64,100,11.99,overcast clouds
212,Palmas Bellas,PA,9.2319,-80.0867,89.26,67,12,12.08,light rain
213,Lichuan,CN,30.3,108.85,29.01,90,100,2.42,overcast clouds
214,Huarmey,PE,-10.0681,-78.1522,72.7,73,16,10.25,few clouds
215,Erenhot,CN,43.6475,111.9767,7.5,58,47,11.23,scattered clouds
216,San Cristobal,VE,7.7669,-72.225,64.58,84,89,4.47,overcast clouds
217,Henties Bay,NA,-22.116,14.2845,63.07,83,3,16.98,clear sky
218,Te Anau,NZ,-45.4167,167.7167,38.39,91,60,1.83,broken clouds
219,Ashqelon,IL,31.6693,34.5715,66.09,56,0,9.4,clear sky
220,Charleston,US,32.7766,-79.9309,58.1,32,0,13.8,clear sky
221,Melilla,ES,35.2937,-2.9383,61.18,67,40,4.61,scattered clouds
222,General Pico,AR,-35.6566,-63.7568,81.16,32,10,9.42,clear sky
223,Fortuna,US,40.5982,-124.1573,41.34,97,75,1.99,broken clouds
224,Paramonga,PE,-10.6667,-77.8333,72.27,73,10,9.78,clear sky
225,Lixourion,GR,38.2019,20.4314,57.2,88,40,6.91,scattered clouds
226,Lethem,GY,3.3803,-59.7968,88.72,49,64,9.6,light rain
227,Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,4.61,light intensity shower rain
228,Cherskiy,RU,68.75,161.3,-7.85,98,100,10.98,light snow
229,Yurty,RU,56.0498,97.6348,-3.68,95,100,7.16,overcast clouds
230,Samarai,PG,-10.6167,150.6667,81.12,81,100,5.64,overcast clouds
231,Constantine,DZ,36.365,6.6147,51.21,71,0,2.3,clear sky
232,Miri,MY,4.4148,114.0089,75.34,94,40,2.3,scattered clouds
233,Port Hardy,CA,50.6996,-127.4199,26.78,80,75,3.44,broken clouds
234,Narasannapeta,IN,18.4167,84.05,73.8,80,0,6.15,clear sky
235,Goderich,CA,43.7501,-81.7165,34.92,74,100,14.97,overcast clouds
236,Hailey,US,43.5196,-114.3153,31.8,86,100,17.27,snow
237,Pisco,PE,-13.7,-76.2167,73.45,64,0,9.22,clear sky
238,Tierranueva,MX,21.6833,-100.5667,58.21,79,100,5.91,overcast clouds
239,Voh,NC,-20.9667,164.7,77.58,88,100,4.72,overcast clouds
240,Taupo,NZ,-38.6833,176.0833,50.14,81,48,8.39,scattered clouds
241,Brisbane,AU,-27.4679,153.0281,62.58,89,75,11.5,broken clouds
242,Vilhena,BR,-12.7406,-60.1458,79.02,83,75,10.36,broken clouds
243,Sabang,ID,5.8933,95.3214,81.61,74,95,9.53,overcast clouds
244,Tabas,IR,33.5959,56.9244,61.02,36,11,6.91,few clouds
245,Aleksandrov Gay,RU,50.147,48.5704,24.1,58,0,6.49,clear sky
246,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.39,69,75,8.05,broken clouds
247,Leningradskiy,RU,69.3833,178.4167,25.61,78,100,10.07,overcast clouds
248,Collie,AU,-33.3667,116.15,52,89,0,3.38,clear sky
249,Kaura Namoda,NG,12.5898,6.5779,80.96,21,17,5.37,few clouds
250,Kysyl-Syr,RU,63.8986,122.7617,-12.95,97,100,5.48,overcast clouds
251,Russell,US,32.3502,-85.1999,53.96,28,0,0,clear sky
252,San Lorenzo De El Escorial,ES,40.5914,-4.1474,49.26,61,1,3.96,clear sky
253,Balikpapan,ID,-1.2675,116.8289,76.19,94,20,3.44,few clouds
254,Rockingham,US,42.9668,-71.0995,42.22,49,7,4,clear sky
255,Sisimiut,GL,66.9395,-53.6735,7.7,87,63,11.52,broken clouds
256,Vila Velha,BR,-20.3297,-40.2925,78.75,94,100,9.22,overcast clouds
257,Bambous Virieux,MU,-20.3428,57.7575,76.21,78,40,3.44,scattered clouds
258,Chuy,UY,-33.6971,-53.4616,80.06,67,77,10.07,broken clouds
259,Ballina,AU,-28.8667,153.5667,61.02,99,100,18.75,light rain
260,Constitucion,CL,-35.3333,-72.4167,66.43,51,1,14.85,clear sky
261,Muisne,EC,0.6,-80.0333,77.23,77,99,11.45,overcast clouds
262,Pampas,PE,-12.4,-74.9,67.44,25,3,7.4,clear sky
263,Tocopilla,CL,-22.092,-70.1979,70.2,63,11,6.73,few clouds
264,Yushan,CN,31.3776,120.9543,39.97,56,100,7.09,overcast clouds
265,Sao Miguel Do Guama,BR,-1.6267,-47.4833,87.57,57,87,4.45,overcast clouds
266,Camacari,BR,-12.6975,-38.3242,83.97,73,91,9.37,overcast clouds
267,Luancheng,CN,37.8792,114.6517,17.76,26,1,5.53,clear sky
268,Filadelfia,US,39.9523,-75.1638,43.12,44,40,20.71,scattered clouds
269,Saint-Pierre,RE,-21.3393,55.4781,74.91,69,0,4.61,clear sky
270,Novikovo,RU,51.1537,37.8879,26.02,64,100,12.64,overcast clouds
271,Dubbo,AU,-32.25,148.6167,53.73,87,0,9.22,clear sky
272,Leshukonskoye,RU,64.8989,45.7622,22.69,97,100,3.78,light snow
273,Panguna,PG,-6.3164,155.4848,68.74,94,100,0.11,overcast clouds
274,Kloulklubed,PW,7.0419,134.2556,75.7,70,71,14.74,broken clouds
275,Souillac,MU,-20.5167,57.5167,75.58,78,40,3.44,scattered clouds
276,Fairbanks,US,64.8378,-147.7164,1.74,82,100,3.44,light snow
277,Bandiagara,ML,14.3501,-3.6104,87.94,12,47,5.53,scattered clouds
278,Koboko,UG,3.4136,30.9599,68.14,72,97,4.65,overcast clouds
279,Bahia Honda,CU,22.9036,-83.1592,82.35,68,95,13.87,overcast clouds
280,Rio Gallegos,AR,-51.6226,-69.2181,62.65,23,75,14.97,broken clouds
281,Gimbi,ET,9.1667,35.8333,60.21,56,98,1.86,overcast clouds
282,Miles City,US,46.4083,-105.8406,29.7,59,99,6.22,overcast clouds
283,Andros Town,BS,24.7,-77.7667,80.56,67,37,17.58,scattered clouds
284,Brae,GB,60.3964,-1.353,47.7,91,100,25.08,light rain
285,Kushiro,JP,42.975,144.3747,26.85,50,4,12.57,clear sky
286,Plomarion,GR,38.9767,26.3681,58.96,80,56,11.03,broken clouds
287,Monterey,US,36.2505,-121.2516,48.18,80,100,10.27,overcast clouds
288,Saldanha,ZA,-33.0117,17.9442,68.05,81,72,15.61,broken clouds
289,Saint Anthony,US,45.0205,-93.218,27.66,60,20,16.11,few clouds
290,Fukue,JP,32.6881,128.8419,49.19,58,100,19.28,light rain
291,Nipawin,CA,53.3668,-104.0009,-5.76,77,100,14.97,overcast clouds
292,Hofn,IS,64.2539,-15.2082,42.82,87,75,9.22,broken clouds
293,Zhigansk,RU,66.7697,123.3711,-10.77,99,100,3.69,light snow
294,Oksfjord,NO,70.2396,22.3479,37.58,93,98,2.37,overcast clouds
295,Cidreira,BR,-30.1811,-50.2056,74.91,84,100,15.39,overcast clouds
296,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,76,75,25.32,broken clouds
297,Nova Varos,RS,43.4606,19.8114,31.14,95,100,2.33,overcast clouds
298,Gorontalo,ID,0.5412,123.0595,74.3,94,93,3.6,overcast clouds
299,Karwar,IN,14.8,74.1333,76.32,64,0,4.27,clear sky
300,Markova,UA,48.6758,24.4138,25.86,96,93,2.1,overcast clouds
301,Tumut,AU,-35.3,148.2167,57.99,85,88,2.13,overcast clouds
