City_ID,City,Country,Lat,Lng,Max Temp,City Weather Description,Hotel Name
458,Wau,SS,7.7029,27.9953,87.01,broken clouds,Bahr Gazhal Hotel
460,Magway,MM,20.15,94.9167,74.37,few clouds,Rolex Guesthouse
477,Kikwit,CD,-5.041,18.8162,73.02,overcast clouds,Grand Hôtel de Kikwit
483,Cabo San Lucas,MX,22.8909,-109.9124,82.06,few clouds,Comfort Rooms
490,Atambua,ID,-9.1061,124.8925,73.78,overcast clouds,Hotel Matahari
491,Hukuntsi,BW,-24.0,21.75,89.28,few clouds,Entabeni Hotel
492,Puerto Ayacucho,VE,5.6639,-67.6236,87.49,few clouds,Hotel VENETUR Amazonas
517,Pitimbu,BR,-7.4706,-34.8086,86.59,scattered clouds,Pousada Brisa Mar
520,Cockburn Town,TC,21.4612,-71.1419,84.16,scattered clouds,The Salt Raker Inn
521,Atar,MR,20.5169,-13.0499,86.72,few clouds,فندق سكليل
530,Mananara,MG,-16.1667,49.7667,74.89,light rain,Chez Roger
537,Ponnani,IN,10.767,75.9252,79.92,few clouds,Hotel Salkara
538,Camiri,BO,-20.05,-63.5167,80.38,broken clouds,Sol Chaqueño
549,Takoradi,GH,4.8845,-1.7554,82.29,light rain,Hillcrest
551,Paita,PE,-5.0892,-81.1144,74.59,scattered clouds,Victor's
557,Port Hedland,AU,-20.3167,118.5667,78.85,clear sky,The Esplanade Hotel
561,San Andres,CO,12.5847,-81.7006,86.02,few clouds,Hotel Decameron Isleño
565,Bowen,AU,-20.0167,148.2333,70.9,overcast clouds,Whitsunday Sands Resort
579,Namibe,AO,-15.1961,12.1522,70.95,broken clouds,Hotel Chik Chik Namibe
581,Saint Pete Beach,US,27.7253,-82.7412,76.24,clear sky,Grand Plaza Hotel
585,Kochi,IN,9.9399,76.2602,80.02,few clouds,Hotel Top Form
588,Sampit,ID,-2.5333,112.95,74.05,overcast clouds,Hotel Sultan
606,Bahia Blanca,AR,-38.7196,-62.2724,75.29,clear sky,Hotel Austral Bahía
615,Grand Gaube,MU,-20.0064,57.6608,76.37,scattered clouds,Coco Villa
616,Viedma,AR,-40.8135,-62.9967,78.03,clear sky,Níjar
618,San Carlos,VE,9.6612,-68.5827,87.98,few clouds,Hotel Villas del Norte
619,Samarinda,ID,-0.5,117.15,72.64,overcast clouds,Hotel Bumi Senyiur
631,Quelimane,MZ,-17.8786,36.8883,78.75,few clouds,Mabassa
641,Fare,PF,-16.7,-151.0167,79.81,broken clouds,hôtel Maitai Lapita Village
655,Iztapa,GT,13.9333,-90.7075,86.05,clear sky,Hotel Solyplaya
659,Moron,AR,-34.6534,-58.6198,74.01,overcast clouds,La Esquina
661,Manokwari,ID,-0.8667,134.0833,77.5,overcast clouds,Hotel Arfak
666,Monrovia,LR,6.3005,-10.7969,81.21,overcast clouds,Bella Casa Hotel
667,Pochutla,MX,15.7432,-96.4661,89.82,scattered clouds,Hotel El Patio
677,Buchanan,LR,5.8808,-10.0467,80.89,overcast clouds,Phillipmena's Guesthouse
678,Ciudad Bolivar,VE,8.1222,-63.5497,89.64,clear sky,Paoca
680,Port Moresby,PG,-9.4431,147.1797,74.62,few clouds,The Sanctuary Hotel and Spa
681,Ormond Beach,US,29.2858,-81.0559,75.29,clear sky,Royal Floridian Resort
682,Massaguet,TD,12.4755,15.4365,82.31,overcast clouds,الوطن
693,General Roca,AR,-39.0333,-67.5833,82.62,clear sky,Hotel Austral
694,Rocha,UY,-34.4833,-54.3333,84.11,overcast clouds,Hotel Municipal
697,Lamu,KE,-2.2717,40.902,80.82,overcast clouds,Hotel Archipelago villa bed and breakfast
711,Cozumel,MX,20.5083,-86.9458,86.07,scattered clouds,Hotel Isla Esmeralda
